Calendar	avoikoi	avsettlements	avcoastsettl	avinlandsettl	avelevation	avtradeflow	avtradedistance	avmigrations	avecultivated	RAI
1153	118,7666667	19,74193548	3,466666667	16,26666667	611,5700893	101,4827586	50,12471469	3,703703704	2,601053175	0,239399485
1152	118,1	19,4516129	3,233333333	16,2	611,1916293	100,7931034	49,98700144	3,962962963	2,606318078	0,155360005
1151	117,2333333	19,51612903	3,3	16,2	613,7077081	98,24137931	49,14070889	3,962962963	2,605963514	0,155360005
1150	117,3666667	19,35483871	3,166666667	16,16666667	615,9141117	98,37931034	50,4522216	4	2,605570084	0,155360005
1149	117,9	19,48387097	3,333333333	16,13333333	611,2075042	112,5172414	99,48126271	4,111111111	2,605125163	0,071320525
1148	116,7	19,64516129	3,4	16,23333333	611,3121127	112,7586207	99,20177679	4,407407407	2,615735913	-0,013511823
1147	114,6	19,77419355	3,533333333	16,23333333	609,7844307	112,0344828	99,35288408	3,148148148	2,622788589	-0,102790111
1146	114,3333333	19,74193548	3,566666667	16,16666667	609,415969	110,0344828	97,47204662	2,888888889	2,6186218	-0,192068399
1145	114,4333333	19,90322581	3,733333333	16,16666667	608,536238	109,862069	99,25957402	3,740740741	2,618302693	-0,281346687
1144	114,8	20,06451613	3,8	16,26666667	609,5729722	109,4827586	100,4428397	4,111111111	2,623690612	-0,370624976
1143	114,9333333	20,25806452	3,966666667	16,3	608,8169876	109,5862069	100,2414824	4,296296296	2,636726589	-0,593820696
1142	114,1666667	20,35483871	4,066666667	16,26666667	609,9098792	109,8965517	99,65651454	3,814814815	2,64300001	-0,683098984
1141	114,5666667	20,41935484	4,166666667	16,23333333	609,0763087	108,9310345	97,62653677	3,703703704	2,644664713	-0,772377273
1140	114,0333333	20,51612903	4,3	16,2	607,6030142	109,3103448	98,5047662	4,185185185	2,653238621	-0,817016417
1139	114,2	20,41935484	4,3	16,1	611,0697672	107,7586207	98,71035016	4,62962963	2,659784341	-0,861655561
1138	113,7	20,61290323	4,466666667	16,13333333	612,2702607	107,8275862	97,55344843	5,148148148	2,675695202	-0,906294705
1137	114,3333333	20,87096774	4,7	16,16666667	610,1242553	107,7586207	100,1633207	4,148148148	2,676247246	-0,861655561
1136	114,1	20,90322581	4,733333333	16,16666667	612,1242432	108	98,37031616	4,888888889	2,685420617	-0,861655561
1135	113,5333333	21,03225806	4,866666667	16,16666667	610,096691	108,4482759	98,47258272	4,259259259	2,691285678	-0,906294705
1134	112,2333333	21	4,866666667	16,13333333	609,9438022	108,4827586	99,28456499	3,962962963	2,694558722	-0,861655561
1133	112,3666667	20,96774194	4,9	16,06666667	606,8469029	107,1034483	99,61049658	4,407407407	2,69330636	-0,817016417
1132	111,2333333	20,93548387	4,9	16,03333333	605,1147679	107,2758621	99,31416188	4,37037037	2,700781097	-0,772377273
1131	111,7333333	21,06451613	4,933333333	16,13333333	603,6581375	105,7241379	97,39735325	3,888888889	2,702568639	-0,727738128
1130	111,8666667	21,06451613	5,1	15,96666667	601,0738511	106,5517241	99,01158583	4,592592593	2,712167336	-0,772377273
1129	110,5	21,03225806	5,133333333	15,9	601,0342839	107,2758621	99,3854332	4,148148148	2,719192728	-0,817016417
1128	110,3666667	21,03225806	5,133333333	15,9	598,4870296	105,6206897	98,86529145	3,777777778	2,722425868	-0,861655561
1127	110,5333333	21,06451613	5,233333333	15,83333333	599,3841133	105,4482759	98,2902116	4,333333333	2,727879678	-0,950933849
1126	110,7	21,12903226	5,266666667	15,86666667	598,8550442	105,5172414	97,95362065	4,555555556	2,734873589	-0,950933849
1125	110,2333333	21,19354839	5,366666667	15,83333333	596,9515714	105,2413793	99,36156103	4,888888889	2,749488323	-0,995572993
1124	109	21,22580645	5,4	15,83333333	596,516558	104,7586207	96,06158643	4,037037037	2,758955642	-0,995572993
1123	108,4333333	21,22580645	5,4	15,83333333	596,424406	104,0689655	98,58410925	4,444444444	2,766439178	-0,995572993
1122	108,6666667	21,06451613	5,4	15,7	596,4024141	103,3448276	96,37250842	4,222222222	2,773148823	-0,995572993
1121	106,8333333	20,87096774	5,366666667	15,53333333	596,5513839	103,7931034	98,08963845	3,925925926	2,776275592	-0,995572993
1120	107,4333333	20,96774194	5,466666667	15,53333333	596,496876	102	97,91795008	4,37037037	2,777911885	-0,950933849
1119	108,5333333	21	5,5	15,53333333	594,8637631	102,4137931	97,51640568	4,481481481	2,779251128	-0,950933849
1118	108,2666667	21,03225806	5,566666667	15,5	595,2321705	103,3103448	97,68278003	4,777777778	2,782804574	-0,995572993
1117	107,6666667	21,09677419	5,566666667	15,56666667	595,0710898	103,2758621	95,6185903	4,592592593	2,789204985	-1,084851281
